ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},"Sant Cugat Theater csv names ""Etiqueta del Punto"""
11,De-centralized data,Metering Fan Climate control Electrical Energy  (Daily ),C,Sant Cugat - Theater,santcugat_theater_BMS_Metering_Fan_Climate_control_Electrical_Energy_Production_Daily,Metering_Fan_Climate_control_Electrical_Energy_Production_Daily,CONT.2.24H
12,De-centralized data,Flow temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_Flow_temperature_Essays,Flow_temperature_Essays,T.IMP.CL.1
13,De-centralized data,Return temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_Return_temperature_Essays,Return_temperature_Essays,T.RET.CL.1
14,De-centralized data,Return temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_Return_temperature_Cocktail_bar,Return_temperature_Cocktail_bar,T.RET.CL.2
15,De-centralized data,Metering Gas meter Boiler 1  (Monthly ),m3,Sant Cugat - Theater,santcugat_theater_BMS_Metering_Gas_meter_Boiler_1_Production_Monthly,Metering_Gas_meter_Boiler_1_Production_Monthly,CONT.3.MENS
16,De-centralized data,Flow temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_Flow_temperature_HALL,Flow_temperature_HALL,T.IMP.CL.3
17,De-centralized data,Return temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_Return_temperature_HALL,Return_temperature_HALL,T.RET.CL.3
18,De-centralized data,Metering Gas meter Boiler 1 (Daily ),m3,Sant Cugat - Theater,santcugat_theater_BMS_Metering_Gas_meter_Boiler_1_Production_Daily,Metering_Gas_meter_Boiler_1_Production_Daily,CONT.3.24H
19,De-centralized data,Flow temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_Flow_temperature_Amphitheater,Flow_temperature_Amphitheater,T.IMP.CL.4
20,De-centralized data,Return temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_Return_temperature_Amphitheater,Return_temperature_Amphitheater,T.RET.CL.4
21,De-centralized data,Flow Temperature,C,Sant Cugat - Theater,santcugat_theater_BMS_Flow_Temperature_Control_Booths,Flow_Temperature_Control_Booths,T.IMP.CL.5
22,De-centralized data,Return temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_Return_temperature_Control_Booths,Return_temperature_Control_Booths,T.RET.CL.5
23,De-centralized data,MeteringChiller Electrical Energy  (Monthly ),C,Sant Cugat - Theater,santcugat_theater_BMS_MeteringChiller_Electrical_Energy_Production_Monthly,MeteringChiller_Electrical_Energy_Production_Monthly,CONT.4.MENS
24,De-centralized data,Flow temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_Flow_temperature_Dressing_Room,Flow_temperature_Dressing_Room,T.IMP.CL.6
25,De-centralized data,Return temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_Return_temperature_Dressing_Room,Return_temperature_Dressing_Room,T.RET.CL.6
26,De-centralized data,MeteringChiller Electrical Energy  (Daily ),C,Sant Cugat - Theater,santcugat_theater_BMS_MeteringChiller_Electrical_Energy_Production_Daily,MeteringChiller_Electrical_Energy_Production_Daily,CONT.4.24H
27,De-centralized data,Gas meter Boiler 1 (Daily ),C,Sant Cugat - Theater,santcugat_theater_BMS_Gas_meter_Boiler_1_Stage,Gas_meter_Boiler_1_Stage,T.IMP.CL.7
28,De-centralized data,Return temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_Return_temperature_Stage,Return_temperature_Stage,T.RET.CL.7
29,De-centralized data,External temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_External_temperature_Outside,External_temperature_Outside,T.EXT
30,De-centralized data,p Heat opening clamp.,p,Sant Cugat - Theater,santcugat_theater_BMS_p_Heat_opening_clamp_Cocktail_bar,p_Heat_opening_clamp_Cocktail_bar,V3V.CAL.CL.2
31,De-centralized data,p Cold opening clamp.,p,Sant Cugat - Theater,santcugat_theater_BMS_p_Cold_opening_clamp_Cocktail_bar,p_Cold_opening_clamp_Cocktail_bar,V3V.FRIO.CL.2
32,De-centralized data,p Heat opening clamp.,p,Sant Cugat - Theater,santcugat_theater_BMS_p_Heat_opening_clamp_HALL,p_Heat_opening_clamp_HALL,V3V.CAL.CL.3
33,De-centralized data,p Cold opening clamp.,p,Sant Cugat - Theater,santcugat_theater_BMS_p_Cold_opening_clamp_HALL,p_Cold_opening_clamp_HALL,V3V.FRIO.CL.3
34,De-centralized data,p Heat opening clamp.,p,Sant Cugat - Theater,santcugat_theater_BMS_p_Heat_opening_clamp_Amphitheater,p_Heat_opening_clamp_Amphitheater,V3V.CAL.CL.4
35,De-centralized data,p Cold opening clamp.,p,Sant Cugat - Theater,santcugat_theater_BMS_p_Cold_opening_clamp_Amphitheater,p_Cold_opening_clamp_Amphitheater,V3V.FRIO.CL.4
36,De-centralized data,p Heat opening clamp.,p,Sant Cugat - Theater,santcugat_theater_BMS_p_Heat_opening_clamp_Control_Booths,p_Heat_opening_clamp_Control_Booths,V3V.CAL.CL.5
37,De-centralized data,p Cold opening clamp.,p,Sant Cugat - Theater,santcugat_theater_BMS_p_Cold_opening_clamp_Control_Booths,p_Cold_opening_clamp_Control_Booths,V3V.FRIO.CL.5
38,De-centralized data,p Heat opening clamp.,p,Sant Cugat - Theater,santcugat_theater_BMS_p_Heat_opening_clamp_Dressing_Room,p_Heat_opening_clamp_Dressing_Room,V3V.CAL.CL.6
39,De-centralized data,p Cold opening clamp.,p,Sant Cugat - Theater,santcugat_theater_BMS_p_Cold_opening_clamp_Dressing_Room,p_Cold_opening_clamp_Dressing_Room,V3V.FRIO.CL.6
40,De-centralized data,p Heat opening clamp.,p,Sant Cugat - Theater,santcugat_theater_BMS_p_Heat_opening_clamp_Stage,p_Heat_opening_clamp_Stage,V3V.CAL.CL.7
41,De-centralized data,p Cold opening clamp.,p,Sant Cugat - Theater,santcugat_theater_BMS_p_Cold_opening_clamp_Stage,p_Cold_opening_clamp_Stage,V3V.FRIO.CL.7
42,De-centralized data,Cold Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_Essays,Cold_Pump_Status_Essays,EST.B.F.CL.1
43,De-centralized data,Cold Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_HALL,Cold_Pump_Status_HALL,EST.B.F.CL.3
44,De-centralized data,Fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Fan_status_of_the_climate_control_Control_Booths,Fan_status_of_the_climate_control_Control_Booths,EST.CL.5
45,De-centralized data,Fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Fan_status_of_the_climate_control_Cocktail_bar,Fan_status_of_the_climate_control_Cocktail_bar,EST.CL.2
46,De-centralized data,Heat Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_Essays,Heat_Pump_Status_Essays,EST.B.C.CL.1
47,De-centralized data,Heat Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_Cocktail_bar,Heat_Pump_Status_Cocktail_bar,EST.B.C.CL.2
48,De-centralized data,Cold Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_Cocktail_bar,Cold_Pump_Status_Cocktail_bar,EST.B.F.CL.2
49,De-centralized data,Fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Fan_status_of_the_climate_control_HALL,Fan_status_of_the_climate_control_HALL,EST.CL.3
50,De-centralized data,Flow fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Flow_fan_status_of_the_climate_control_Amphitheater,Flow_fan_status_of_the_climate_control_Amphitheater,EST.IMP.CL.4
51,De-centralized data,Heat Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_HALL,Heat_Pump_Status_HALL,EST.B.C.CL.3
52,De-centralized data,Heat Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_Amphitheater,Heat_Pump_Status_Amphitheater,EST.B.C.CL.4
53,De-centralized data,Cold Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_Amphitheater,Cold_Pump_Status_Amphitheater,EST.B.F.CL.4
54,De-centralized data,Return fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Return_fan_status_of_the_climate_control_Amphitheater,Return_fan_status_of_the_climate_control_Amphitheater,EST.RET.CL.4
55,De-centralized data,Cold Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_Control_Booths,Cold_Pump_Status_Control_Booths,EST.B.F.CL.5
56,De-centralized data,Cold Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_Dressing_Room,Cold_Pump_Status_Dressing_Room,EST.B.F.CL.6
57,De-centralized data,Fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Fan_status_of_the_climate_control_Dressing_Room,Fan_status_of_the_climate_control_Dressing_Room,EST.CL.6
58,De-centralized data,Flow fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Flow_fan_status_of_the_climate_control_Stage,Flow_fan_status_of_the_climate_control_Stage,EST.IMP.CL.7
59,De-centralized data,Flow temperature Boiler.,C,Sant Cugat - Theater,santcugat_theater_BMS_Flow_temperature_Boiler_Production,Flow_temperature_Boiler_Production,T.IMP.CAL
60,De-centralized data,Flow temperature hot water.,C,Sant Cugat - Theater,santcugat_theater_BMS_Flow_temperature_hot_water_Production,Flow_temperature_hot_water_Production,T.IMP.ACS
61,De-centralized data,Hot Water Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Hot_Water_Pump_Status_Production,Hot_Water_Pump_Status_Production,EST.B.ACS
62,De-centralized data,Boiler Pump principal distribution 1  Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Boiler_Pump_principal_distribution_1_Status_Production,Boiler_Pump_principal_distribution_1_Status_Production,EST.B.CALD.1
63,De-centralized data,Boiler  Pump principal distribution 2 Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Boiler_Pump_principal_distribution_2_Status_Production,Boiler_Pump_principal_distribution_2_Status_Production,EST.B.CALD.2
64,De-centralized data,Boiler 1 Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Boiler_1_Status_Production,Boiler_1_Status_Production,EST.CALD.1
65,De-centralized data,Boiler 2 Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Boiler_2_Status_Production,Boiler_2_Status_Production,EST.CALD.2
66,De-centralized data,Boiler 1 Alarm .,ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Boiler_1_Alarm_Production,Boiler_1_Alarm_Production,AL.CALD.1
67,De-centralized data,Boiler 2 Alarm.,ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Boiler_2_Alarm_Production,Boiler_2_Alarm_Production,AL.CALD.2
68,De-centralized data,Heat setpoint CLIMA 1,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_1_Essays,Heat_setpoint_CLIMA_1_Essays,CSG.CAL.T.CL.1
69,De-centralized data,Cold setpoint CLIMA 1,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_1_Essays,Cold_setpoint_CLIMA_1_Essays,CSG.FRIO.T.CL.1
70,De-centralized data,Heat setpoint CLIMA 2,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_2_Cocktail_bar,Heat_setpoint_CLIMA_2_Cocktail_bar,CSG.CAL.T.CL.2
71,De-centralized data,Cold setpoint CLIMA 2,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_2_Cocktail_bar,Cold_setpoint_CLIMA_2_Cocktail_bar,CSG.FRIO.T.CL.2
72,De-centralized data,Heat setpoint CLIMA 3,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_3_HALL,Heat_setpoint_CLIMA_3_HALL,CSG.CAL.T.CL.3
73,De-centralized data,Cold setpoint CLIMA 3,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_3_HALL,Cold_setpoint_CLIMA_3_HALL,CSG.FRIO.T.CL.3
74,De-centralized data,Heat setpoint CLIMA 4,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_4_Amphitheater,Heat_setpoint_CLIMA_4_Amphitheater,CSG.CAL.T.CL.4
75,De-centralized data,Cold setpoint CLIMA 4,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_4_Amphitheater,Cold_setpoint_CLIMA_4_Amphitheater,CSG.FRIO.T.CL.4
76,De-centralized data,Heat setpoint CLIMA 5,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_5_Control_Booths,Heat_setpoint_CLIMA_5_Control_Booths,CSG.CAL.T.CL.5
77,De-centralized data,Cold setpoint CLIMA 5,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_5_Control_Booths,Cold_setpoint_CLIMA_5_Control_Booths,CSG.FRIO.T.CL.5
78,De-centralized data,Heat setpoint CLIMA 6,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_6_Dressing_Room,Heat_setpoint_CLIMA_6_Dressing_Room,CSG.CAL.T.CL.6
79,De-centralized data,Cold setpoint CLIMA 6,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_6_Dressing_Room,Cold_setpoint_CLIMA_6_Dressing_Room,CSG.FRIO.T.CL.6
80,De-centralized data,Heat setpoint CLIMA 7,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_7_Stage,Heat_setpoint_CLIMA_7_Stage,CSG.CAL.T.CL.7
81,De-centralized data,Cold setpoint CLIMA 7,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_7_Stage,Cold_setpoint_CLIMA_7_Stage,CSG.FRIO.T.CL.7
82,De-centralized data,Low point room temperature,C,Sant Cugat - Theater,santcugat_theater_BMS_Low_point_room_temperature_Amphitheater,Low_point_room_temperature_Amphitheater,T.AMB.1
83,De-centralized data,Middle point room temperature,C,Sant Cugat - Theater,santcugat_theater_BMS_Middle_point_room_temperature_Amphitheater,Middle_point_room_temperature_Amphitheater,T.AMB.2
84,De-centralized data,Highest point room temperature,C,Sant Cugat - Theater,santcugat_theater_BMS_Highest_point_room_temperature_Amphitheater,Highest_point_room_temperature_Amphitheater,T.AMB.3
85,De-centralized data,Cold Pump distribution FAN COIL 1 Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_distribution_FAN_COIL_1_Status_Production,Cold_Pump_distribution_FAN_COIL_1_Status_Production,EST.B.FRIO.FCOILS.1
86,De-centralized data,Cold Pump distribution FAN COIL 2 Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_distribution_FAN_COIL_2_Status_Production,Cold_Pump_distribution_FAN_COIL_2_Status_Production,EST.B.FRIO.FCOILS.2
87,De-centralized data,Heat Pump distribution FAN COIL 1 Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_distribution_FAN_COIL_1_Status_Production,Heat_Pump_distribution_FAN_COIL_1_Status_Production,EST.B.CAL.FCOILS.1
88,De-centralized data,Heat Pump distribution FAN COIL 2 Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_distribution_FAN_COIL_2_Status_Production,Heat_Pump_distribution_FAN_COIL_2_Status_Production,EST.B.CAL.FCOILS.2
