ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},Zaanstad csv NPO Description
415,De-centralized data,Setpoint adjustment H3.03,C,Zaanstad - Town hall,zaanstad_townhall_bms_temperature_setpoint_H3_03,temperature_setpoint_H3_03,Setpointverstelling H3.03
416,De-centralized data,Setpoint adjustment H4.02,C,Zaanstad - Town hall,zaanstad_townhall_bms_temperature_setpoint_H4_02,temperature_setpoint_H4_02,Setpointverstelling H4.02
417,De-centralized data,Setpoint adjustment H4.03,C,Zaanstad - Town hall,zaanstad_townhall_bms_temperature_setpoint_H4_03,temperature_setpoint_H4_03,Setpointverstelling H4.03
418,De-centralized data,Wind direction station,degree,Zaanstad - Town hall,zaanstad_townhall_bms_wind_direction,wind_direction,Wind richting weerstation
419,De-centralized data,Wind speed station,m/s,Zaanstad - Town hall,zaanstad_townhall_bms_wind_speed,wind_speed,Wind snelheid weerstation
420,De-centralized data,Groundwatersource incomming temp building,C,Zaanstad - Town hall,zaanstad_townhall_bms_temperature_groundwatersource_buildingincomming,temperature_groundwatersource_buildingincomming,WKO Aanvoer temperatuur gebouw
421,De-centralized data,Groundwatersource flow source,,Zaanstad - Town hall,zaanstad_townhall_bms_groundwatersource_sourceflow,groundwatersource_sourceflow,WKO Flow bron
422,De-centralized data,Groundwatersource flow building,,Zaanstad - Town hall,zaanstad_townhall_bms_groundwatersource_buidlingflow,groundwatersource_buidlingflow,WKO Flow gebouwcircuit
423,De-centralized data,Groundwatersource Temperature cold source TSA 1,C,Zaanstad - Town hall,zaanstad_townhall_bms_temperature_groundwatersource_coldsource_TSA1,temperature_groundwatersource_coldsource_TSA1,WKO Temperatuur koudebron TSA 1
424,De-centralized data,Groundwatersource Temperature hot source TSA2,C,Zaanstad - Town hall,zaanstad_townhall_bms_temperature_groundwatersource_hotsource_TSA2,temperature_groundwatersource_hotsource_TSA2,WKO Temperatuur warmebron TSA2
