ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},"Sant Cugat Theater csv names ""Etiqueta del Punto"""
56,De-centralized data,% Heat opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Heat_opening_clamp_Dressing_Room,%_Heat_opening_clamp_Dressing_Room,V3V.CAL.CL.6
57,De-centralized data,% Cold opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Cold_opening_clamp_Dressing_Room,%_Cold_opening_clamp_Dressing_Room,V3V.FRIO.CL.6
58,De-centralized data,% Heat opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Heat_opening_clamp_Stage,%_Heat_opening_clamp_Stage,V3V.CAL.CL.7
59,De-centralized data,% Cold opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Cold_opening_clamp_Stage,%_Cold_opening_clamp_Stage,V3V.FRIO.CL.7
60,De-centralized data,Cold Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_Essays,Cold_Pump_Status_Essays,EST.B.F.CL.1
61,De-centralized data,Cold Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_HALL,Cold_Pump_Status_HALL,EST.B.F.CL.3
62,De-centralized data,Fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Fan_status_of_the_climate_control_Control_Booths,Fan_status_of_the_climate_control_Control_Booths,EST.CL.5
63,De-centralized data,Fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Fan_status_of_the_climate_control_Cocktail_bar,Fan_status_of_the_climate_control_Cocktail_bar,EST.CL.2
64,De-centralized data,Heat Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_Essays,Heat_Pump_Status_Essays,EST.B.C.CL.1
65,De-centralized data,Heat Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_Cocktail_bar,Heat_Pump_Status_Cocktail_bar,EST.B.C.CL.2
66,De-centralized data,Cold Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_Cocktail_bar,Cold_Pump_Status_Cocktail_bar,EST.B.F.CL.2
67,De-centralized data,Fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Fan_status_of_the_climate_control_HALL,Fan_status_of_the_climate_control_HALL,EST.CL.3
68,De-centralized data,Flow fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Flow_fan_status_of_the_climate_control_Amphitheater,Flow_fan_status_of_the_climate_control_Amphitheater,EST.IMP.CL.4
69,De-centralized data,Heat Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_HALL,Heat_Pump_Status_HALL,EST.B.C.CL.3
70,De-centralized data,Heat Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_Amphitheater,Heat_Pump_Status_Amphitheater,EST.B.C.CL.4
71,De-centralized data,Cold Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_Amphitheater,Cold_Pump_Status_Amphitheater,EST.B.F.CL.4
72,De-centralized data,Return fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Return_fan_status_of_the_climate_control_Amphitheater,Return_fan_status_of_the_climate_control_Amphitheater,EST.RET.CL.4
73,De-centralized data,Heat Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_Control_Booths,Heat_Pump_Status_Control_Booths,EST.B.C.CL.5
74,De-centralized data,Cold Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_Control_Booths,Cold_Pump_Status_Control_Booths,EST.B.F.CL.5
75,De-centralized data,Cold Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_Dressing_Room,Cold_Pump_Status_Dressing_Room,EST.B.F.CL.6
76,De-centralized data,Fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Fan_status_of_the_climate_control_Dressing_Room,Fan_status_of_the_climate_control_Dressing_Room,EST.CL.6
77,De-centralized data,Flow fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Flow_fan_status_of_the_climate_control_Stage,Flow_fan_status_of_the_climate_control_Stage,EST.IMP.CL.7
78,De-centralized data,Flow temperature Boiler.,C,Sant Cugat - Theater,santcugat_theater_BMS_Flow_temperature_Boiler_Production,Flow_temperature_Boiler_Production,T.IMP.CAL
79,De-centralized data,Flow temperature hot water.,C,Sant Cugat - Theater,santcugat_theater_BMS_Flow_temperature_hot_water_Production,Flow_temperature_hot_water_Production,T.IMP.ACS
80,De-centralized data,Return temperature boiler.,C,Sant Cugat - Theater,santcugat_theater_BMS_Return_temperature_boiler_Production,Return_temperature_boiler_Production,T.RET.CAL
81,De-centralized data,Hot Water Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Hot_Water_Pump_Status_Production,Hot_Water_Pump_Status_Production,EST.B.ACS
82,De-centralized data,Boiler Pump principal distribution 1  Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Boiler_Pump_principal_distribution_1_Status_Production,Boiler_Pump_principal_distribution_1_Status_Production,EST.B.CALD.1
83,De-centralized data,Boiler  Pump principal distribution 2 Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Boiler_Pump_principal_distribution_2_Status_Production,Boiler_Pump_principal_distribution_2_Status_Production,EST.B.CALD.2
84,De-centralized data,Boiler 1 Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Boiler_1_Status_Production,Boiler_1_Status_Production,EST.CALD.1
85,De-centralized data,Boiler 2 Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Boiler_2_Status_Production,Boiler_2_Status_Production,EST.CALD.2
86,De-centralized data,Boiler 1 Alarm .,ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Boiler_1_Alarm_Production,Boiler_1_Alarm_Production,AL.CALD.1
87,De-centralized data,Boiler 2 Alarm.,ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Boiler_2_Alarm_Production,Boiler_2_Alarm_Production,AL.CALD.2
88,De-centralized data,Heat setpoint CLIMA 1,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_1_Essays,Heat_setpoint_CLIMA_1_Essays,CSG.CAL.T.CL.1
89,De-centralized data,Cold setpoint CLIMA 1,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_1_Essays,Cold_setpoint_CLIMA_1_Essays,CSG.FRIO.T.CL.1
